ID;3;4;5;7;8;9;10;12;14;15;16;19;21;22;24;27;35;37;40;43;44;45;46;57;74;83;93;100;101;103;104;105;107;119;120;121;137;155;249;TOT_INCIDENTES;TOT_ACIDENTES;BIN_ACCIDENTES
1;2;;;2;;15;;2;;;;;;;;;;3;;;;;3;;;;;;;1;;;;;;;;2;;30;2;1
2;3;;;6;2;41;2;4;1;;;;;;;1;;25;;;2;1;2;;;;;1;;1;;;;;;;;;;92;3;1
3;3;;1;14;3;54;;5;;;1;;;1;3;;2;9;;;3;;5;;;;;;1;1;;;;;;;;1;;107;3;1
4;2;;1;5;1;56;;4;2;;;;;;;;;;;;4;2;5;;;;1;;;1;;;;;;;;;;84;2;1
5;3;;2;12;4;54;;1;;;2;;;;;;7;19;;;1;2;5;;;;;;1;1;;;;;;;;1;;115;3;1
6;3;;2;12;4;53;;1;;;2;;;;;;7;20;;;1;2;5;;;;;;1;1;;;;;;;;1;;115;3;1
7;;;2;8;;35;;3;;1;;;;;;;;6;;;3;1;1;2;;1;;;;1;4;4;;;;;14;3;;89;0;0
8;16;;1;5;;24;3;;;;;;;3;;;10;4;;1;1;;;2;;;;;;1;3;3;1;;;;;21;;99;16;1
9;;;;3;4;50;;3;;;;;;;;1;4;25;;;;1;2;;;;;;;1;;;;;;;;1;;95;0;0
10;;;1;6;1;53;;4;;;;;1;;;4;;6;;;;1;3;;;;;;;1;;;;;;;;2;;83;0;0
11;;1;1;5;2;35;;11;;;;;;;;4;1;12;;;4;4;;;;;;2;1;1;;;;;;1;;2;;87;0;0
12;3;;1;2;;56;;3;;;;;;;;;;;;;1;1;4;;1;;;;;1;;;;;;;;;;73;3;1
13;2;;;;2;37;;4;;;;;;;;;1;48;;;;1;1;;;;;2;;1;;;;;;;;2;;101;2;1
14;6;;3;24;7;101;;21;3;;;;;3;8;2;8;9;;;5;7;5;;;;;;3;2;;;;2;;;;3;;222;6;1
15;1;;;2;;30;;5;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;40;1;1
16;3;;1;5;;39;;4;;;;;;;5;;;;;;3;;;;;;;;;1;;;;;;;;;;61;3;1
17;2;;;2;1;31;;1;;;;;;;;;;4;;;1;;2;;1;;;1;;1;;;;;;;;;;47;2;1
18;;;;;;33;;1;;;;;;;;;;;;;2;;2;;;;;;;1;;;;;;;;;;39;0;0
19;3;;;6;2;42;2;3;1;;;;;;4;2;;;;;4;1;4;;;;;;;1;;;;;;;;;;75;3;1
20;2;;;7;1;55;;7;;;;;;;5;;;;;;;1;7;;1;;;;;1;;;;;;;;;;87;2;1
21;2;;;4;1;27;;4;;;;1;;;;;;;;;2;;2;;1;;;;;1;;;;;;;;;;45;2;1
22;;;;7;;47;;1;;;;;;1;;1;;;;;1;;2;;;;;;;1;;;;;;;;;;61;0;0
